kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,habitable_zone
10295951,K01154.01,,CANDIDATE,CANDIDATE,0.871,0,0,0,0,6.810823723,1.014e-06,-1.014e-06,136.04667,0.000115,-0.000115,0.57,0.011,-0.01,7.98574,0.00861,-0.00861,14447.0,12.0,-12.0,26.06,6.36,-9.53,1626.0,,,1656.16,1245.3,-1094.83,1441.9,1.0,q1_q17_dr25_tce,7226.0,228.0,-304.0,3.967,0.315,-0.135,2.079,0.507,-0.76,299.10281,47.377781,12.628,0
6842345,K06774.01,,CANDIDATE,CANDIDATE,0.946,0,0,0,0,17.3816224,1.255e-06,-1.255e-06,142.4067834,6.18e-05,-6.18e-05,0.666,0.015,-0.002,2.73456,0.00508,-0.00508,59099.0,72.4,-72.4,26.55,7.7,-4.14,756.0,,,77.09,67.29,-29.03,1149.7,1.0,q1_q17_dr25_tce,6116.0,183.0,-201.0,4.407,0.09,-0.195,1.02,0.296,-0.159,284.13208,42.350441,15.567,0
6634112,K05308.01,,CANDIDATE,CANDIDATE,0.0,0,0,0,0,9.942228056,6.87e-07,-6.87e-07,133.8474942,5.7e-05,-5.7e-05,0.93,0.297,-0.022,2.45451,0.00377,-0.00377,31068.0,23.4,-23.4,22.15,3.6,-2.94,740.0,,,70.93,36.96,-23.71,1073.3,1.0,q1_q17_dr25_tce,5268.0,158.0,-158.0,4.475,0.108,-0.156,0.843,0.137,-0.112,298.64252,42.092831,14.099,0
7380537,K00883.01,,CANDIDATE,CANDIDATE,0.997,0,0,0,0,2.688899233,1.9e-07,-1.9e-07,170.1020904,5.61e-05,-5.61e-05,0.001,0.061,-0.001,2.11275,0.00254,-0.00254,37492.0,44.0,-44.0,12.04,1.36,-0.79,929.0,,,175.76,66.28,-39.88,1011.6,1.0,q1_q17_dr25_tce,4820.0,130.0,-144.0,4.667,0.027,-0.063,0.639,0.072,-0.042,296.68307,42.967869,15.766,0
6620003,K01225.01,,CANDIDATE,CANDIDATE,0.0,0,0,0,0,1.714274727,1.12e-07,-1.12e-07,133.3158074,5.26e-05,-5.26e-05,1.182,0.046,-0.065,2.06728,0.00291,-0.00291,28460.0,34.5,-34.5,25.0,0.98,-1.21,827.0,,,110.02,15.32,-16.26,987.2,1.0,q1_q17_dr25_tce,3874.0,52.0,-58.0,4.715,0.03,-0.015,0.535,0.021,-0.026,295.62222,42.09288,15.686,0
4178389,K00185.01,,CANDIDATE,CANDIDATE,0.0,0,0,0,0,23.210509958,2.125e-06,-2.125e-06,134.386378,7.47e-05,-7.47e-05,0.954,0.03,-0.023,3.09802,0.00829,-0.00829,28737.0,47.6,-47.6,21.19,5.53,-1.83,595.0,,,29.69,22.9,-7.52,958.7,1.0,q1_q17_dr25_tce,5875.0,161.0,-161.0,4.572,0.033,-0.187,0.809,0.211,-0.07,296.18524,39.26268,14.228,0
12253490,K05961.01,,CANDIDATE,CANDIDATE,0.0,0,0,0,0,19.159760875,1.999e-06,-1.999e-06,141.5680129,8.47e-05,-8.47e-05,1.191,0.116,-0.089,3.10166,0.00389,-0.00389,32491.0,25.7,-25.7,25.24,1.76,-2.1,424.0,,,7.65,2.26,-2.07,900.3,1.0,q1_q17_dr25_tce,4492.0,141.0,-157.0,4.727,0.054,-0.032,0.516,0.036,-0.043,288.64325,50.90118,15.053,0
7906882,K00686.01,,CANDIDATE,CANDIDATE,0.952,0,0,0,0,52.513548727,6.133e-06,-6.133e-06,171.6745959,9.47e-05,-9.47e-05,0.679,0.008,-0.01,3.2743,0.0118,-0.0118,14252.0,21.1,-21.1,12.43,1.67,-1.22,472.0,,,11.73,4.61,-2.92,825.0,1.0,q1_q17_dr25_tce,5589.0,111.0,-111.0,4.421,0.086,-0.105,0.98,0.132,-0.096,296.84076,43.647121,13.579,0
9944201,K07259.01,,CANDIDATE,CANDIDATE,0.705,0,1,0,0,0.721522907,4.3e-08,-4.3e-08,131.7091421,5.02e-05,-5.02e-05,0.831,0.055,-0.017,1.4521,0.0076,-0.0076,22528.0,18.4,-18.4,11.04,0.97,-0.88,1475.0,,,1115.99,369.92,-279.21,815.3,1.0,q1_q17_dr25_tce,4893.0,146.0,-146.0,4.634,0.06,-0.035,0.625,0.055,-0.05,288.49091,46.804989,15.069,0
12251650,K00621.01,,CANDIDATE,CANDIDATE,0.0,0,0,0,0,17.761998411,1.794e-06,-1.794e-06,174.1831018,8.11e-05,-8.11e-05,0.907,0.016,-0.015,2.4644,0.00925,-0.00925,24177.0,51.2,-51.2,14.25,1.39,-1.25,538.0,,,19.78,6.98,-5.03,731.7,1.0,q1_q17_dr25_tce,5088.0,151.0,-136.0,4.612,0.061,-0.044,0.669,0.065,-0.059,287.46097,50.975071,14.762,0
