kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,habitable_zone
7517261,K03496.02,,CANDIDATE,CANDIDATE,0.994,0,0,0,0,8.5433774,0.0001984,-0.0001984,137.9895,0.0192,-0.0192,0.748,0.226,-0.505,6.149,0.478,-0.478,75.1,8.3,-8.3,1.58,0.46,-0.42,1260.0,,,595.97,514.55,-318.95,10.3,2.0,q1_q17_dr25_tce,6602.0,181.0,-250.0,4.108,0.22,-0.18,1.685,0.494,-0.444,288.4212,43.179794,13.932,0
8074328,K02486.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,4.267961416,8.876e-06,-8.876e-06,134.07063,0.00177,-0.00177,0.255,0.204,-0.255,1.3427,0.0603,-0.0603,127.4,6.6,-6.6,1.42,0.44,-0.28,1371.0,,,834.16,774.43,-369.77,24.6,1.0,q1_q17_dr25_tce,6395.0,176.0,-242.0,4.275,0.153,-0.187,1.237,0.39,-0.24,280.69046,43.919182,13.047,0
10928043,K01315.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,6.84639884,1.924e-05,-1.924e-05,133.76181,0.00237,-0.00237,0.9,0.011,-0.627,3.4919,0.0593,-0.0593,149.7,4.6,-4.6,1.9,0.35,-0.28,1132.0,,,387.84,198.25,-130.26,36.3,1.0,q1_q17_dr25_tce,6065.0,121.0,-133.0,4.251,0.125,-0.125,1.31,0.238,-0.194,295.29385,48.374802,13.137,0
4060229,K04570.01,,CANDIDATE,CANDIDATE,0.996,0,0,0,0,35.0175053,0.0003215,-0.0003215,139.8496,0.00785,-0.00785,0.809,0.157,-0.575,3.608,0.218,-0.218,292.0,25.5,-25.5,2.13,0.33,-0.36,617.0,,,34.32,13.62,-11.88,12.8,1.0,q1_q17_dr25_tce,5944.0,71.0,-80.0,4.293,0.156,-0.104,1.123,0.173,-0.19,292.35605,39.11945,14.638,0
6359926,K04391.01,,CANDIDATE,CANDIDATE,0.99,0,0,0,0,49.4746966,0.0009815,-0.0009815,166.142,0.0171,-0.0171,0.491,0.476,-0.278,10.46,0.525,-0.525,291.0,19.2,-19.2,1.62,0.46,-0.2,498.0,,,14.5,12.16,-4.63,17.2,1.0,q1_q17_dr25_tce,5952.0,161.0,-179.0,4.475,0.067,-0.189,0.928,0.265,-0.114,290.39505,41.78157,14.955,0
12168895,K05959.01,,CANDIDATE,CANDIDATE,,0,0,0,0,251.48808,0.03783,-0.03783,192.461,0.139,-0.139,0.8011,0.0146,-0.6006,6.8,2.6,-2.6,305.0,136.0,-136.0,1.74,0.71,-0.14,284.0,,,1.55,1.84,-0.4,6.4,1.0,q1_q16_tce,5979.0,156.0,-175.0,4.52,0.036,-0.294,0.902,0.366,-0.076,296.24155,50.78051,14.495,0
8105719,K05476.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,148.179343,0.005653,-0.005653,202.2788,0.031,-0.031,0.102,0.352,-0.102,12.733,0.877,-0.877,466.6,42.4,-42.4,2.52,0.38,-0.42,367.0,,,4.29,1.72,-1.47,12.5,1.0,q1_q17_dr25_tce,5635.0,76.0,-76.0,4.278,0.156,-0.104,1.183,0.18,-0.198,294.60629,43.937141,15.563,0
4844470,K03469.01,,CANDIDATE,CANDIDATE,0.955,0,0,0,0,60.532988,0.0004557,-0.0004557,134.57461,0.00554,-0.00554,0.618,0.303,-0.402,7.086,0.179,-0.179,467.5,22.3,-22.3,1.91,0.53,-0.17,420.0,,,7.36,6.01,-1.85,23.8,1.0,q1_q17_dr25_tce,5631.0,152.0,-152.0,4.557,0.035,-0.184,0.847,0.235,-0.073,294.25037,39.943939,14.196,0
5785279,K04259.01,,CANDIDATE,CANDIDATE,0.885,0,0,0,0,0.909127736,4.052e-06,-4.052e-06,132.40471,0.00351,-0.00351,0.098,0.36,-0.098,1.431,0.119,-0.119,98.7,8.7,-8.7,0.98,0.26,-0.17,1818.0,,,2566.87,2113.64,-995.71,13.9,1.0,q1_q17_dr25_tce,5486.0,164.0,-164.0,4.389,0.149,-0.182,0.996,0.272,-0.168,290.01245,41.089989,15.195,0
10790401,K08031.01,,CANDIDATE,CANDIDATE,0.371,0,0,0,0,254.336707,0.007809,-0.007809,200.5875,0.0161,-0.0161,0.728,0.209,-0.532,8.585,0.69,-0.69,398.4,41.1,-41.1,13.97,0.41,-3.88,586.0,,,27.88,3.42,-15.24,11.3,1.0,q1_q17_dr25_tce,5193.0,76.0,-178.0,3.117,0.033,-0.027,6.502,0.19,-1.807,289.0275,48.13792,13.625,0
